id,mainAsset,mainTimeFrame,parameters,ASSETS,ASSETS 1,TIMEFRAMES,TIMEFRAMES 1,INDICATORS_PROPERTIES,LAG_TIMESTEPS,ASSETS,LABELS,PERCENTAGE_OF_DATASET_FOR_TRAINING,FEATURES,EPOCHS,LSTM_NEURONS,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MAX,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MIN,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_CLOSE,HOUR_OF_DAY,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_YEAR,MONTH_OF_YEAR,YEAR,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_OPEN,CANDLES_CANDLES-VOLUMES_VOLUMES_VOLUME_BUY,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE5RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT5RATE,BOLLINGER_BOLLINGER-BANDS_BOLLINGER-BANDS_BOLLINGERBAND_MOVINGAVERAGE,BOLLINGER_BOLLINGER-BANDS_BOLLINGER-BANDS_BOLLINGERBAND_DEVIATION,BOLLINGER_BOLLINGER-BANDS_PERCENTAGE-BANDWIDTH_PERCENTAGEBANDWIDTH_MOVINGAVERAGE,BOLLINGER_BOLLINGER-BANDS_PERCENTAGE-BANDWIDTH_PERCENTAGEBANDWIDTH_BANDWIDTH,parametersHash,status,assignedTo,assignedTimestamp,timeSeriesFileName,parametersFileName,filesTimestaps,parameters,forcastedCandle,begin,end,open,predictions,predictions 1,predictions 2,predictions 3,errorRMSE,percentageErrorRMSE,enlapsedSeconds,enlapsedMinutes,enlapsedHours,testedByInstance,testedByProfile
6957,BTC,01-hs,35,1,BTC,1,01-hs,10,15,1,3,80,10,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,ON,01e1be57a7c5e663d7cdd45b31b8a51a,Tested,Smidy13 / Raspberry-Pi-8GB,1652288344364,time-series-BTC-01-hs-0000006957,parameters-0000006957,1,2022-05-11T16:59:04.365Z,3,1652281200000,1652284799999,30977.61,3,30382.838,27148.03,29224.553,579.473,1.91,10707,178.44,2.97,Smidy13 / Raspberry-Pi-8GB,Smidy13
7064,BTC,01-hs,35,1,BTC,1,01-hs,8,15,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,OFF,3cc57c2269d52cea4dd15cf029dd3b6a,Tested,DJ05GaZ / PowerEdge-R720-7,1652301175552,time-series-BTC-01-hs-0000007064,parameters-0000007064,1,2022-05-11T20:32:55.553Z,3,1652295600000,1652299199999,29372.22,3,28633.006,27502.225,28136.861,546.279,1.91,3841,64.02,1.07,DJ05GaZ / PowerEdge-R720-7,DJ05GaZ
7457,BTC,01-hs,35,1,BTC,1,01-hs,11,15,1,3,80,11,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,ON,ON,81e9c78d8fbed8fb73a1d3d6ba16633c,Tested,theblockchainarborist / Ryzen9.3,1652354247492,time-series-BTC-01-hs-0000007457,parameters-0000007457,1,2022-05-12T11:17:27.493Z,3,1652349600000,1652353199999,28622.32,3,28299.09,27697.562,28062.652,541.453,1.91,2376,39.6,0.66,theblockchainarborist / Ryzen9.3,theblockchainarborist
7619,BTC,01-hs,35,1,BTC,1,01-hs,13,15,1,3,80,13,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,OFF,ON,b603ae9e6f0c6bebfc37b75e5fd9a133,Tested,DJ05GaZ / PowerEdge-R720-9,1652372502862,time-series-BTC-01-hs-0000007619,parameters-0000007619,1,2022-05-12T16:21:42.863Z,3,1652367600000,1652371199999,29021.27,3,30163.564,29676.785,24220.29,574.744,1.91,9825,163.75,2.73,DJ05GaZ / PowerEdge-R720-9,DJ05GaZ
92,BTC,01-hs,35,1,BTC,1,01-hs,6,15,1,3,80,6,250,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,b023c9cbf631df4fccd5f151d1c2c3d9,Tested,theblockchainarborist / theblockchainarborist,1651253665292,time-series-BTC-01-hs-0000000092,parameters-0000000092,1,2022-04-29T17:33:48.613Z,3,1651248000000,1651251599999,38522.33,3,39688.312,39143.17,39498.926,761.158,1.92,875,14.58,0.24,theblockchainarborist / theblockchainarborist,theblockchainarborist
169,BTC,01-hs,35,1,BTC,1,01-hs,8,20,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,607e34d04d243bbe70dbe2303a10127a,Tested,DJ05GaZ / PowerEdge-R720-5,1651269208180,time-series-BTC-01-hs-0000000169,parameters-0000000169,1,2022-04-29T21:52:52.026Z,3,1651262400000,1651265999999,38564.44,3,39651.848,39445.996,39552.965,762.899,1.92,4841,80.68,1.34,DJ05GaZ / PowerEdge-R720-5,DJ05GaZ
319,BTC,02-hs,35,1,BTC,1,02-hs,6,15,1,3,80,6,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,8b385187620ce87ec85b214511dcef5f,Tested,theblockchainarborist / theblockchainarborist,1651296940699,time-series-BTC-02-hs-0000000319,parameters-0000000319,1,2022-04-30T05:35:40.699Z,3,1651284000000,1651291199999,38656.37,3,38724.418,39416.312,39356.203,743.052,1.92,1752,29.19,0.49,theblockchainarborist / theblockchainarborist,theblockchainarborist
926,BTC,06-hs,35,1,BTC,1,06-hs,6,20,1,3,80,6,250,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,1dd2436f18623e492f3b432df9041f15,Tested,DJ05GaZ / PowerEdge-R720-1,1651331378623,time-series-BTC-06-hs-0000000926,parameters-0000000926,1,2022-04-30T15:09:38.623Z,3,1651298400000,1651319999999,38580.01,3,39357.023,38306.414,38727.516,756.208,1.92,419,6.98,0.12,DJ05GaZ / PowerEdge-R720-1,DJ05GaZ
2037,BTC,01-hs,35,1,BTC,1,01-hs,9,10,1,3,80,9,250,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,ON,ON,d8b6a0e29bf73adebd3e2545c17e19f6,Tested,DJ05GaZ / PowerEdge-R720-4,1651512560526,time-series-BTC-01-hs-0000002037,parameters-0000002037,1,2022-05-02T17:29:20.527Z,3,1651507200000,1651510799999,38551,3,33466.074,33616.95,33346.18,643.496,1.92,1378,22.97,0.38,DJ05GaZ / PowerEdge-R720-4,DJ05GaZ
2145,BTC,01-hs,35,1,BTC,1,01-hs,12,10,1,3,80,12,250,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,ON,ON,feb3a0727f9c3502b6cdb687335fee22,Tested,theblockchainarborist / theblockchainarborist,1651527226572,time-series-BTC-01-hs-0000002145,parameters-0000002145,1,2022-05-02T21:33:46.573Z,3,1651521600000,1651525199999,38316.36,3,33733.582,33715.31,33764.95,646.46,1.92,659,10.98,0.18,theblockchainarborist / theblockchainarborist,theblockchainarborist
