id,mainAsset,mainTimeFrame,parameters,ASSETS,ASSETS 1,TIMEFRAMES,TIMEFRAMES 1,INDICATORS_PROPERTIES,LAG_TIMESTEPS,ASSETS,LABELS,PERCENTAGE_OF_DATASET_FOR_TRAINING,FEATURES,EPOCHS,LSTM_NEURONS,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MAX,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MIN,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_CLOSE,HOUR_OF_DAY,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_YEAR,MONTH_OF_YEAR,YEAR,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_OPEN,CANDLES_CANDLES-VOLUMES_VOLUMES_VOLUME_BUY,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE5RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT5RATE,parametersHash,status,timeSeriesFileName,parametersFileName,filesTimestaps,parameters,forcastedCandle,begin,end,open,predictions,predictions 1,predictions 2,predictions 3,errorRMSE,percentageErrorRMSE,enlapsedSeconds,enlapsedMinutes,enlapsedHours,assignedTimestamp,when,testedByProfile
2526,BTC,06-hs,31,1,BTC,1,06-hs,9,5,1,3,80,9,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,1edd2c08d3cea9865ad9613350be39f3,Tested,time-series-BTC-06-hs-0000002526,parameters-0000002526,1,2022-04-21T00:08:39.552Z,3,1.65048E+12,1.6505E+12,41358.19,3,42.080.258,41.127.855,41614.43,905.936,Feb 15,74,Jan 23,0.02,1650499795141,00:02:28 HH:MM:SS ago,p-pl
2529,BTC,06-hs,31,1,BTC,1,06-hs,9,5,1,3,80,9,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,de4278a1e36fde3b1463d50fc726931a,Tested,time-series-BTC-06-hs-0000002529,parameters-0000002529,1,2022-04-21T00:09:43.818Z,3,1.65048E+12,1.6505E+12,41358.19,3,42168.71,41182.79,41650.63,908.52,Feb 15,158,Feb 63,0.04,1650499943389,00:01:11 HH:MM:SS ago,Luis-Fernando-Molina
2559,BTC,06-hs,31,1,BTC,1,06-hs,8,5,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,0e18967d16accb6784992585ac95d71b,Tested,time-series-BTC-06-hs-0000002559,parameters-0000002559,1,2022-04-21T00:20:04.821Z,3,1.65048E+12,1.6505E+12,41358.19,3,41919.03,41.205.785,41548.37,900.845,Feb 15,73,Jan 22,0.02,1650500479896,00:02:17 HH:MM:SS ago,p-pl
2738,BTC,06-hs,31,1,BTC,1,06-hs,7,10,1,3,80,7,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,10f8297b2ad83c4e95e12417e57c83a0,Tested,time-series-BTC-06-hs-0000002738,parameters-0000002738,1,2022-04-21T01:19:45.590Z,3,1.65048E+12,1.6505E+12,41358.19,3,42153.52,41398.1,41.750.492,907.205,Feb 15,224,MŠr 74,0.06,1650504211364,00:02:18 HH:MM:SS ago,caoHenriques
2741,BTC,06-hs,31,1,BTC,1,06-hs,7,10,1,3,80,7,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,fa9abc90b5444c7d1c3d6c344df1eb37,Tested,time-series-BTC-06-hs-0000002741,parameters-0000002741,1,2022-04-21T01:20:57.751Z,3,1.65048E+12,1.6505E+12,41358.19,3,41918.74,41.213.062,41.741.047,899.481,Feb 15,113,Jan 88,0.03,1650504172115,00:02:57 HH:MM:SS ago,p-pl
2803,BTC,06-hs,31,1,BTC,1,06-hs,8,10,1,3,80,8,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,4eab1eb7f638c9e2d2289e14082dce2c,Tested,time-series-BTC-06-hs-0000002803,parameters-0000002803,1,2022-04-21T02:11:52.382Z,3,1.65048E+12,1.6505E+12,41358.19,3,42.370.566,41502.81,41.981.812,910.634,Feb 15,216,03. Jun,0.06,1650507330278,00:19:09 HH:MM:SS ago,p-pl
2906,BTC,06-hs,31,1,BTC,1,06-hs,7,15,1,3,80,7,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,8d4e8952b1ea0e9e052ff3b82bf4b594,Tested,time-series-BTC-06-hs-0000002906,parameters-0000002906,1,2022-04-21T02:50:42.690Z,3,1.65048E+12,1.6505E+12,41358.19,3,42175.11,41.345.164,41.766.652,908.39,Feb 15,145,Feb 42,0.04,1650509589480,00:12:43 HH:MM:SS ago,p-pl
2922,BTC,06-hs,31,1,BTC,1,06-hs,6,15,1,3,80,6,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1c35aa68740790b4221fa07534c19039,Tested,time-series-BTC-06-hs-0000002922,parameters-0000002922,1,2022-04-21T03:01:46.308Z,3,1.65048E+12,1.6505E+12,41358.19,3,42.261.824,41.378.074,41.800.938,908.993,Feb 15,146,Feb 44,0.04,1650510253699,00:03:24 HH:MM:SS ago,p-pl
2964,BTC,06-hs,31,1,BTC,1,06-hs,8,15,1,3,80,8,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,OFF,ON,OFF,OFF,OFF,7da79e71bec331d6c159ee80f613aca5,Tested,time-series-BTC-06-hs-0000002964,parameters-0000002964,1,2022-04-21T03:50:12.774Z,3,1.65048E+12,1.6505E+12,41358.19,3,41.989.074,40993.43,41.526.426,904.849,Feb 15,327,Mai 45,0.09,1650513341078,00:11:33 HH:MM:SS ago,p-pl
3078,BTC,08-hs,31,1,BTC,1,08-hs,7,5,1,3,80,7,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,f8d723838d1b735dc98f57204087b613,Tested,time-series-BTC-08-hs-0000003078,parameters-0000003078,1,2022-04-21T04:41:56.856Z,3,1.65047E+12,1.6505E+12,41358.19,3,41.652.926,40612,41.066.434,894.315,Feb 15,216,MŠr 61,0.06,1650516335712,00:00:00 HH:MM:SS ago,Luis-Fernando-Molina
